code,name,mv_mean,amount_mean,profit,主营产品名称,主营产品类型,公司简介
300661.SZ,圣邦股份,7476124.07291432,656868.0477344398,699389578.69,DC/DC转换器、LED驱动器、MOSFET 驱动、POP音抑制器、比较器、耳机驱动器、负载开关、过压保护器件、锂电池充电管理芯片、模拟信号开关、视频驱动器、特殊开关系列、微处理器复位芯片、线性稳压器、小逻辑门、音频功率放大器、音频驱动器、运算放大器,电子元器件,公司是一家专注于高性能、高品质模拟集成电路芯片设计及销售的高新技术企业。公司产品涵盖信号链和电源管理两大领域，包括运算放大器、比较器、音/视频放大器、模拟开关、电平转换及接口电路、小逻辑芯片、AFE、LDO、DC/DC转换器、OVP、负载开关、LED驱动器、微处理器电源监控电路、马达驱动、MOSFET驱动及电池管理芯片等。公司产品可广泛应用于消费类电子、手机与通讯、工业控制、医疗仪器、汽车电子等领域，以及物联网、新能源、可穿戴设备、人工智能、智能家居、无人机、机器人和共享单车等新兴电子产品领域。
603290.SH,斯达半导,6428711.089341803,794750.5189792531,398382971.15,1200V IGBT模块、其他电压IGBT模块,电子元器件,公司主营业务是以IGBT为主的功率半导体芯片和模块的设计研发和生产，并以IGBT模块形式对外实现销售。IGBT模块的核心是IGBT芯片和快恢复二极管芯片，公司自主研发设计的IGBT芯片和快恢复二极管芯片是公司的核心竞争力之一。IGBT作为一种新型电力电子器件，是国际上公认的电力电子技术第三次革命最具代表性的产品，是工业控制及自动化领域的核心元器件，其作用类似于人类的心脏，能够根据工业装置中的信号指令来调节电路中的电压、电流、频率、相位等，以实现精准调控的目的。因此，IGBT被称为电力电子行业里的“CPU”，广泛应用于电机节能、轨道交通、智能电网、航空航天、家用电器、汽车电子、新能源发电、新能源汽车等领域。据IHSMarkit2018年报告数据显示，在2017年度IGBT模块供应商全球市场份额排名中，斯达股份排名第10位，在中国企业中排名第1位，成为世界排名前十中唯一一家中国企业。
300223.SZ,北京君正,5499735.66158314,1112515.8013112033,926181170.71,Android 2.2第三方开发环境、USB Boot工具、XBurst CPU、君正Linux系统、芯片,行业专用软件、集成电路,公司是一家集成电路设计企业，拥有全球领先的32位嵌入式CPU技术和低功耗技术。公司主营业务为微处理器芯片、智能视频芯片等ASIC芯片产品及整体解决方案的研发和销售。公司拥有较强的自主创新能力，多年来在自主创新CPU技术、视频编解码技术、图像和声音信号处理技术、SoC芯片技术、软件平台技术等多个领域形成多项核心技术。公司已形成可持续发展的梯队化产品布局，基于自主创新的XBurst CPU和视频编解码等核心技术，公司推出了一系列具有高性价比的微处理器芯片产品和智能视频芯片产品，各类别的芯片产品分别面向不同的市场领域。公司积极培养复合型人才，形成合理的人才梯队，不断加强团队凝聚力，已累计获得多项专利证书，是国内外领先的嵌入式CPU芯片及解决方案提供商之一。
605358.SH,立昂微,5184123.875307245,660729.1253360995,600303350.38,MOSFET芯片、半导体分立器件业务、肖特基二极管、肖特基二极管芯片,电子元器件,公司设立以来，始终专注于半导体材料、半导体芯片及相关产品的研发及制造领域。经过多年的发展，公司不仅在半导体硅片、半导体分立器件芯片及分立器件成品方面已经形成了自身的主打产品；同时，公司还坚持不懈的进行技术研发投入，通过承担国家科技重大专项、引进高端技术人才等多种方式，在半导体材料及芯片领域不断加强自身的研发实力与技术积累。公司先后承担并成功完成了科技部国家863计划、国家火炬计划、国家发改委高技术产业化示范工程、信息产业技术进步与产业升级专项等国家重大科研项目。此外，公司及其子公司多次荣获中国半导体创新产品和技术奖、浙江省技术发明一等奖等重要奖项。
600584.SH,长电科技,5049787.954,1385153.9739626558,2958712532.84,长电SIP封装、长电半导体芯片、长电场效应管、长电二极管、长电封测服务、长电集成电路、长电可控硅（晶闸管）、长电三极管、长电手机类元器件、长电数字晶体管、长电稳压电路,半导体分立器件、电子元器件、集成电路、系统集成服务,公司全球知名的集成电路封装测试企业。公司面向全球提供封装设计、产品开发及认证，以及从芯片中测、封装到成品测试及出货的全套专业生产服务。长电科技致力于可持续发展战略，崇尚员工、企业、客户、股东和社会和谐发展，合作共赢之理念，先后被评定为国家重点高新技术企业，中国电子百强企业，集成电路封装技术创新战略联盟理事长单位，中国出口产品质量示范企业等，拥有国内高密度集成电路国家工程实验室、国家级企业技术中心、博士后科研工作站等。公司生产、研发和销售网络已覆盖全球主要半导体市场。公司具有广泛的技术积累和产品解决方案，包括有自主知识产权的Fan-out eWLB、WLCSP、Bump、PoP、fcBGA、SiP、PA等封装技术，另外引线框封装及自主品牌的分立器件也深受客户褒奖。
603893.SH,瑞芯微,4763004.136242722,445883.209626556,601778469.15,电源管理芯片RK8XX系列、其他芯片Nano系列、其他芯片RK6XX、RK9XX、RK10XX系列、智能应用处理器芯片RK110X系列、智能应用处理器芯片RK3036系列RK16XX系列、智能应用处理器芯片RK3066系列、智能应用处理器芯片RK312X系列、智能应用处理器芯片RK3188系列、智能应用处理器芯片RK322X系列、智能应用处理器芯片RK3288系列、智能应用处理器芯片RK3308系列、智能应用处理器芯片RK332X系列、智能应用处理器芯片RK3368系列、智能应用处理器芯片RK3399系列、智能应用处理器芯片SoFIA3GR、组件开源平台硬件(开发板)、组件人工智能计算棒,电子元器件,"公司是国家级高新技术企业和经工业和信息化部认定的集成电路设计企业,坚持“创新引领、前瞻布局”的发展战略，以市场需求为导向，以持续创新为驱动，以核心技术为支撑，专注于大规模集成电路及应用方案的设计、开发和销售。经过近20年的创新发展，公司在音视频编解码、视觉影像处理、软硬件协同开发、多应用平台开发等方面积累了深厚的技术优势，已经成为国内集成电路设计行业的优势企业。公司主营业务为大规模集成电路及应用方案的设计、开发和销售，为客户提供芯片产品及技术服务。公司主要产品为智能应用处理器芯片、电源管理芯片及其他芯片，同时提供专业技术服务。公司拥有一支以系统级芯片设计、算法研究为特长的研发团队，自主研发了一系列的核心技术，拥有287项发明专利、174项计算机软件著作权、20项集成电路布图设计登记。公司被认定为国家级高新技术企业、国家规划布局内集成电路设计企业、十年(2001-2010)中国芯领军设计企业、中国软件信息服务业“创新影响力企业”、福建省知识产权优势企业、福建省软件骨干企业、福建省企业技术中心，曾获得福建省科技进步一等奖等。"
603160.SH,汇顶科技,4245866.866557557,384570.6022738589,859921624.96,平板触控芯片、手机触控芯片、指纹识别芯片,电子元器件,公司是一家基于芯片设计和软件开发的整体应用解决方案提供商，目前主要面向智能移动终端市场提供领先的人机交互和生物识别解决方案，并已成为安卓阵营全球指纹识别方案第一供应商。产品和解决方案主要应用于华为、OPPO、vivo、小米、中兴、一加、魅族、Amazon、Samsung、Nokia、Dell、HP、LG、ASUS、acer、TOSHIBA、Panasonic等国际国内知名品牌，服务全球数亿人群。公司正努力扩展技术研究领域和产品应用市场，将在移动终端、IoT和汽车电子领域为全球更多用户提供应用覆盖面更广的领先技术、产品及应用解决方案，打造世界级的中国“芯”。
300474.SZ,景嘉微,3918616.988793082,615764.8053651452,292740758.3,图形显控、小型专用化雷达领域核心模块,电子元器件,公司致力于信息探测、信息处理和信息传递领域的技术和综合应用，为客户提供高可靠、高品质的解决方案、产品和配套服务，是国内成功自主研发国产化图形处理芯片(GPU)并产业化的企业。公司主要从事高可靠电子产品的研发、生产和销售，产品主要涉及图形显控、小型专用化雷达和其他三大领域。图形显控是公司现有核心业务，也是传统优势业务，小型专用化雷达和芯片是公司未来大力发展的业务方向。公司在图形显控领域拥有图形显控模块、图形处理芯片、加固显示器、加固存储和加固计算机等五类产品，其中图形显控模块是公司最为核心的产品。公司以ITR流程为指导，建立了现场服务工程师、公司售后服务部、产品生命周期管理团队三级技术服务保障体系。公司从管理、流程、技术、人员、设备等方面建立快速响应机制，及时处理产品的技术或质量问题，努力缩短产品升级、返修等过程开销时间。公司作为军民融合深度发展的高新技术企业，具备齐全的科研生产资质和质量体系认证，与多家科研院所和高校建立战略合作伙伴关系，成立联合实验室、工程中心。
002185.SZ,华天科技,3808453.1975245085,849329.2744979254,1415671366.19,eSOP8L塑封集成电路、HDIP12L塑封集成电路、HSIP9L～12L塑封集成电路、HSOP28L～34L塑封集成电路、LQFP48L～128L塑封集成电路、PDIP8L～42L塑封集成电路、PQFP44L～128L塑封集成电路、RPM600CBR-S（20B-21.8）塑封集成电路、RPM600CBR-S（20B-4.5）塑封集成电路、SDIP24L～64L塑封集成电路、SIP8L～10L塑封集成电路、SKY28L塑封集成电路、SOP8L～30L塑封集成电路、SOT223-3L塑封集成电路、SOT89-3L塑封集成电路、SSOP10L～28L塑封集成电路、TO220T-5L塑封集成电路、TO251-5L塑封集成电路、TO252-3L～5L塑封集成电路、TO263-5L塑封集成电路、TSOP44L～54L塑封集成电路、ZIP16L塑封集成电路,集成电路,公司主要从事半导体集成电路、MEMS传感器、半导体元器件的封装测试业务。目前公司集成电路封装产品主要有DIP/SDIP、SOT、SOP、SSOP、TSSOP/ETSSOP、QFP/LQFP/TQFP、QFN/DFN、BGA/LGA、FC、MCM(MCP)、SiP、WLP、TSV、Bumping、MEMS等多个系列，产品主要应用于计算机、网络通讯、消费电子及智能移动终端、物联网、工业自动化控制、汽车电子等电子整机和智能化领。公司不断加强先进封装技术和产品的研发力度，加大研发投入，完善以华天西安为主体的研发仿真平台建设，依托国家级企业技术中心、甘肃省微电子工程技术研究中心、甘肃省微电子工程实验室等研发验证平台，通过实施国家科技重大专项02专项等科技创新项目以及新产品、新技术、新工艺的不断研究开发，自主研发出FC、Bumping、MEMS、MCM(MCP)、WLP、SiP、TSV、Fan-Out等多项集成电路先进封装技术和产品，随着公司进一步加大技术创新力度，公司的技术竞争优势将不断提升。
300373.SZ,扬杰科技,3386418.720373852,1015833.4712697095,768103337.9,扬杰科技Automobile Rectifier、扬杰科技Bridge Rectifier、扬杰科技Fast Recovery Rectifier、扬杰科技General Purpose Rectifier、扬杰科技High Efficient Rectifier、扬杰科技Module、扬杰科技Schottry Rectifier、扬杰科技Silicon Bidirectional、扬杰科技Small Singnal Diode、扬杰科技solar diode、扬杰科技Super Fast Rectifier、扬杰科技TVS、扬杰科技Zener Diode,电子元器件,公司集研发、生产、销售于一体，专业致力于功率半导体芯片及器件制造、集成电路封装测试等领域的产业发展。公司主营产品为各类电力电子器件芯片、功率二极管、整流桥、大功率模块、DFN/QFN产品、SGT MOS及碳化硅SBD、碳化硅JBS等，产品广泛应用于消费类电子、安防、工控、汽车电子、新能源等诸多领域。通过实行“扬杰”和“MCC”双品牌运作，不断扩大国内外销售、技术网络的辐射范围，为各大终端客户提供直接的专业产品和技术支持服务，持续提升公司国际化服务水平。公司连续数年被中国半导体行业协会评为中国半导体功率器件十强企业，获得全国工业品牌培育示范企业、2016年度国家知识产权优势企业、国家火炬计划重点高新技术企业、全国电子信息行业优秀创新企业、江苏省信息化和工业化融合试点企业等荣誉称号；建立了江苏省功率半导体芯片及器件封装工程技术研究中心、江苏省企业技术中心、江苏省功率半导体芯片及器件工程中心、江苏省企业博士后工作站、企业院士工作站；先后和国内多所著名高校建立了长期的项目开发合作关系。
002409.SZ,雅克科技,3153083.2834946555,490091.9094149378,334750112.85,"20%三乙烯二胺溶液、33%三乙烯二胺溶液、70%二[2(N.N-二甲胺基)乙基]醚、JSYK-2000(硅氧烷聚醚共聚物)、N.N—二甲基环已胺、超细孔软泡阻燃剂、粗孔发泡剂、二丁基氧化锡、二异辛酸亚锡、二月桂酸二丁基锡、发泡剂、改性三(1，3-二氯丙基)磷酸酯、高效慢回弹阻燃剂、硅氧烷聚醚共聚物、含磷、溴和氯的阻燃剂、间苯二酚双(二苯基磷酸酯)、经济实用型阻燃剂、抗焦芯阻燃剂、磷酸三苯酯、磷酸三乙酯、硫酸亚锡、氯化亚锡、三(1,3-二氯丙基)磷酸酯、三(β-氯乙基)磷酸酯、三-(氯异丙基)磷酸酯、三乙烯二胺、双酚A双(二苯基磷酸酯)、四丁基锡、五甲基二乙烯三胺、辛酸亚锡",催化剂及化学助剂,公司是一家中国深圳证券交易所上市企业，主要致力于电子半导体材料，深冷复合材料以及塑料助剂材料研发和生产。公司通过多种方式参与到集成电路(晶圆制造及封装)、平板显示(包含LCD及OLED)等电子制造产业链各个环节，丰富产品链为客户提供多方位的产品和技术服务，并积极探索新业务模式提升高附加值满足市场的需求；公司具有全球领先的深冷复合材料技术，针对以三航(航空、航天和航海)为代表的高端装备制备需求提供专业性的解决方案；最后以磷系阻燃剂为主的塑料助剂材料的世界主要供应商为客户提供更多有竞争力的产品和服务。2018年，公司通过外延并购，成功切入半导体封装材料领域、电子特气领域、IC材料等领域。
002156.SZ,通富微电,2435405.701833443,585177.9073402489,956691241.24,富通微电CP系列集成电路、富通微电DIP/SIP系列集成电路、富通微电MCM系列集成电路、富通微电QFP/LQFP系列集成电路、富通微电SOP/SOL/TSSOP系列集成电路,集成电路,公司是由南通华达微电子有限公司和富士通(中国)有限公司共同投资、由中方控股的中外合资股份制企业，专业从事集成电路封装测试。公司目前的封装技术包括Bumping、WLCSP、FC、BGA、SiP等先进封测技术，QFN、QFP、SO等传统封装技术以及汽车电子产品、MEMS等封装技术；测试技术包括圆片测试、系统测试等。公司拥有国家认定企业技术中心、国家博士后科研工作站、江苏省企业院士工作站、省级工程技术研究中心和企业研究院等高层次研发平台，拥有2000多人的技术管理团队。在行业内率先通过ISO9001、ISO/TS16949等质量体系。采用SAP、MES、设备自动化、EDI等信息系统，可按照客户个性化的规范自动控制生产过程，实时和客户进行信息交互。
000021.SZ,深科技,2155043.5420125904,270943.8434190871,775394154.82,长城开发2.5英寸硬盘头堆、长城开发3.5英寸服务器头堆、长城开发3.5英寸台式电脑头堆、长城开发OEM内存条、长城开发磁头、长城开发点胶机、长城开发电度表、长城开发普通收款机、长城开发税控收款机、长城开发移动硬盘、长城开发硬盘盘片,存储设备、电脑配件、电气仪器仪表、电子测试和测量仪器、电子设备及加工,公司是中国先进的通讯电子产品制造企业之一，为全球多家一线品牌提供技术制造服务。致力于提供计算机与存储、通讯与消费电子、半导体、医疗器械、汽车电子、商业与工业产品的制造服务和自动化设备、计量系统及物联网系统的研发生产服务。公司拥有深圳、苏州、惠州、东莞、成都、重庆、桂林、马来西亚、泰国、菲律宾等多个研发制造基地，同时公司在美国、英国、荷兰、印度、新加坡、中国香港等多个国家或地区设有分支机构或拥有研发团队。公司是中国知名的智能电表及控制系统出口企业，是中国知名的半导体存储模组制造企业和中国先进的DRAM/flash封装测试企业。公司是国家高新技术企业，拥有中国国家认可委员会(CNAS)认可的专业实验室，具备优秀的可靠性、材料分析、先进机械、热仿真、表面贴装(SMT)、以及静电防护等工程技术能力，被认定为广东省工程技术中心和深圳市公共技术平台。
300623.SZ,捷捷微电,2109587.6261274754,629540.7525684647,497056872.37,二极管、防护器件、晶体管、可控硅,半导体材料,公司是一家专业从事半导体分立器件、电力电子器件研发、制造及销售的江苏省高新技术企业。同时也是国内生产“方片式”单、双向可控硅最早及品种最齐全的厂家之一。公司建有ERP、MES等基础信息化平台。具有自主开发能力和自主知识产权，具有自己的产品结构特点和独特工艺技术。公司通过ISO9001:2008质量体系认证，ISO14001:2004环境管理体系认证，OHSAS18001:2007职业健康安全管理体系认证，产品符合UL电气绝缘性要求，ROHS环保要求，REACH化学品注册、评估、许可和限制要求，无卤化要求等。
300346.SZ,南大光电,1923466.6047239837,1105990.479485477,136226627.1,三甲基镓、三甲基铝、三甲基铟、三乙基镓,高分子聚合物,公司是一家专业从事先进电子材料——高纯金属有机化合物(MO源)的研发、生产和销售的高新技术企业，对关键技术拥有完全自主知识产权，亦是全球MO源领导供应商之一，产品主要应用于下游制备LED外延片等。公司在MO源的合成制备、纯化技术、分析检测、封装容器等方面已全面达到国际先进水平，主要产品有三甲基镓、三甲基铟、三乙基镓、三甲基铝等，可以实现MO源产品的全系列配套供应，在激烈的市场竞争中，具有明显的竞争优势。公司正积极拓展新的领域，已经开发出多款应用于IC行业的先进电子化学品并通过了客户验证。同时，公司通过设立子公司全椒南大光电材料有限公司，进入了特种气体(如砷烷、磷烷等)领域，其中砷烷、磷烷已经成功量产并供应多家客户。在长期的发展过程中，公司形成了较为完备的研发设计体系，积累了一定的研究成果，通过逐年加大科研力度，技术实力得到不断增强，获得多项专利。
300458.SZ,全志科技,1897777.375461213,911127.0980207468,494458759.71,智能电源管理芯片、智能终端应用处理器芯片,电子元器件,公司是领先的智能应用处理器SoC、高性能模拟器件和无线互联芯片设计厂商。公司目前的主营业务为系智能应用处理器SoC、高性能模拟器件和无线互联芯片的研发与设计。主要产品为智能应用处理器SoC、高性能模拟器件和无线互联芯片，产品广泛适用于智能硬件、平板电脑、智能家电、车联网、机器人、虚拟现实、网络机顶盒以及电源模拟器件、无线通信模组、智能物联网等多个产品领域。公司以客户为中心，凝聚卓越团队和坚持核心技术长期投入，在超高清视频编解码、高性能CPU/GPU/AI多核整合、先进工艺的高集成度、超低功耗、全栈集成平台等方面提供具有市场突出竞争力的系统解决方案和贴心服务。公司重视优秀人才的培养和研发团队的建设工作。通过加强对优秀人才的引进和培育工作，利用信息化手段细化、量化管理流程，提高管理水平，加强了公司内部的团队实力。
603005.SH,晶方科技,1832008.017263672,632299.7445892117,576045056.34,发光芯片(LED)、射频识别芯片(RFID)、微机电系统(MEMS)、影像传感器(CIS),电子元器件,公司成立于苏州，是一家致力于开发与创新新技术，为客户提供可靠的，小型化，高性能和高性价比的半导体封装量产服务商。晶方科技的CMOS影像传感器晶圆级封装技术，彻底改变了封装的世界，使高性能，小型化的手机相机模块成为可能。这一价值已经使之成为有史以来应用最广泛的封装技术，现今已有近50％的影像传感器芯片可使用此技术，大量应用于智能电话，平板电脑，可穿戴电子等各类电子产品。公司及子公司Optiz Inc.(位于Palo Alto，加州)将持续专注于技术创新。近十年来，晶方科技已经成为技术开发与创新、提供优质量产服务的领导者。随着公司不断发展壮大，1)设立美国子公司Optiz Inc.，是在影像传感器微型化的增强与分析领域的领导者；2)购买智瑞达资产，是新一代半导体封装技术的创新者。公司先后承担多项国家及省级科研项目，“晶圆级封装关键技术研究”被科技部列入国际科技合作与交流专项基金，“晶圆级芯片尺寸封装技术在影像传感芯片中的开发和应用”被科技部列入国家火炬计划项目等。公司产品荣获“高新技术产品”“国家重点新产品”等称号。
